"id_empresa","nome_empresa"
"1","Thomas Jefferson"
"2","Chaveiro City"
"3","HBL Carimbos"
"4","Claro S/A"
"5","Imprensa Nacional"
"6","3 R"
"7","IKHON"
"8","Aerotur"
"9","Sempre Alerta"
"10","Infoglobo"
"11","Nova Transportes"
"12","EBC"
"13","ABC Transportes"
"14","ECT"
"15","Positive Idiomas"
"16","Folha da Manhã"
"17","Central IT"
"18","AGIEL"
"19","Over Elevadores"
"20","Office Service"
"21","Valebravo Editorial"
"22","Gráfica Movimento"
"23","ENGEMIL"
"24","Embratel"
"25","Hospital Dia Sandel"
"26","Estado de São Paulo"
"27","Correio Braziliense"
"28","Editora Globo S/A"
"29","Editora Abril"
"30","Fast Security"
"31","Três Comércio"
"32","MEHTA"
"33","Cinco Estrelas"
"34","Altas Network"
"35","Solux Dist."
"36","DATAPREV"
"37","Uma Automação"
"38","Interior Indústria e Comércio"
"39","Ágil"
"40","ISH Tecnologia"
"41","New Service"
"42","DF Turismo"
"43","Brasal Combustíveis"
"44","Topocart"
"45","Parque Tecnológico"
"46","Vip Service Club"
"47","Investcar"
"48","Arvvo Tecnologia"
"49","Oi-Tchau"
"50","ADS Serviços"
"51","Nordeste Sustentável"
"52","Nova Kono"
"53","Art e Editora JM"
"54","Acquapura"
"55","Transportes Real"
"56","Money Turismo"
"57","Oito Arquitetura"
"58","Editora Segmento"
"59","SERPRO"
"60","Brasoftware"
"61","Picture House Produções"
"62","Sólides RH Inteligente"
"63","ISBET"
"64","Nara Comercial"
"65","SESI-DF"
"66","FORMA"
"67","IG Elevadores"
"68","Serôa Construtora"
